"keys","ja","en","zh_CN","zh_TW","ko","ru"
"しかし、さっき言っていた階はどうなのだろうか。[LF]こちらからお願いしたわけでもない、彼女から言い出した階である。[LF]何もなかったとしても、ためしに寄ってみるのも良いかもしれない。","しかし、さっき言っていた階はどうなのだろうか。[LF]こちらからお願いしたわけでもない、彼女から言い出した階である。[LF]何もなかったとしても、ためしに寄ってみるのも良いかもしれない。","However, what about the floor she mentioned earlier? [LF]It wasn't a floor I had requested, but one she brought up entirely on her own. [LF]Even if there turns out to be nothing there, it might be worth stopping by just to see.","不过，刚才她提到的那个楼层又是怎么回事呢。[LF]那并不是自己拜托她的，而是她自己主动提起的楼层。[LF]就算什么都没有，姑且去看看好像也不错。","不過，剛才她提到的那個樓層又是怎麼回事呢。[LF]那並不是自己拜託她的，而是她自己主動提起的樓層。[LF]就算什麼都沒有，姑且去看看好像也不錯。","하지만 아까 말한 그 층은 뭘까.[LF]이쪽에서 물어본 게 아닌, 오히려 그녀가 먼저 얘기한 층이다.[LF]아무 일도 없을 수도 있지만, 한번 가보는 것도 나쁘지 않을지도 모른다.",""
"[color=green]●行動「偽エレベーターガール」が解禁されました。[LF]●エレベーター操作を偽エレベーターガールに任せる事ができるようになりました。[/color]","[color=green]●行動「偽エレベーターガール」が解禁されました。[LF]●エレベーター操作を偽エレベーターガールに任せる事ができるようになりました。[/color]","[color=green]●Action ""Fake Elevator Girl"" has been unlocked.[/color]","[color=green]●行动“伪电梯小姐”已解锁。[/color]","[color=green]●行動「偽電梯小姐」已解鎖。[LF]●已經可以將電梯操作交給偽電梯小姐處理了。[/color]","[color=green]●행동 「가짜 엘리베이터 걸」이 해금되었습니다.[LF]●엘리베이터 조작을 가짜 엘리베이터 걸에게 맡길 수 있게 되었습니다.[/color]","[color=green]●Открыто действие «Фальшивая лифтёрша».[/color]"
"ゴミの山を注意深くかき分けながら人影の方へ歩いていく。","ゴミの山を注意深くかき分けながら人影の方へ歩いていく。","I walked toward the figure while carefully making my way through the piles of garbage.","小心翼翼地拨开垃圾堆，朝著人影的方向走去。","小心翼翼地撥開垃圾堆，朝著人影的方向走去。","쓰레기 더미를 조심스럽게 헤치며 사람 그림자 쪽으로 걸어갔다.",""
"人影はフレンズだった。ヘビ類に見えるが、細かい種別は不明だ。[LF]両手が黒く変色しているのが気になるが、[LF]エレベーターの場所を尋ねると、普通に教えてくれた。","人影はフレンズだった。ヘビ類に見えるが、細かい種別は不明だ。[LF]両手が黒く変色しているのが気になるが、[LF]エレベーターの場所を尋ねると、普通に教えてくれた。","The figure was a Friend. She appeared to be a snake species, but the exact classification was unknown. [LF] Although the black discoloration of both her hands was concerning, [LF] when I asked for the location of the elevator, she told me normally.","那个人影是一位Friends。看起来像是蛇类，但具体种类不明。[LF]虽然在意对方双手变黑的状况，[LF]但询问电梯的位置时，对方很自然地告诉了我。","那個人影是一位Friends。看起來像是蛇類，但具體種類不明。[LF]雖然在意對方雙手變黑的狀況，[LF]但詢問電梯的位置時，對方很自然地告訴了我。","그 그림자는 프렌즈였다. 뱀류로 보이지만 정확한 종은 알 수 없다.[LF]양손이 검게 변색돼 있는 게 신경 쓰이지만,[LF]엘리베이터 위치를 묻자 평범하게 알려줬다.",""
"「ここで何をしてるかって？」「誰が？」[LF]「ああ　うん　そうそう　見ての通り宝探しだよ」[LF]「ここは静かだし良いものもいっぱい落ちてるからね」","「ここで何をしてるかって？」「誰が？」[LF]「ああ　うん　そうそう　見ての通り宝探しだよ」[LF]「ここは静かだし良いものもいっぱい落ちてるからね」","""What am I doing here?"" ""Who is?"" [LF] ""Ah, yeah, right, right. As you can see, I'm treasure hunting."" [LF] ""It's quiet here, and there are lots of good things lying around.""","「问我在这里做什么？」「谁？」[LF]「啊　嗯　没错没错　就跟你看到的一样，在寻宝呀。」[LF]「毕竟这里很安静，又掉了很多好东西呢。」","「問我在這裡做什麼？」「誰？」[LF]「啊　嗯　沒錯沒錯　就跟你看到的一樣，在尋寶呀。」[LF]「畢竟這裡很安靜，又掉了很多好東西呢。」","「여기서 뭐 하고 있냐고？」「누가？」[LF]「아아　응　맞아맞아　보시다시피 보물찾기야」[LF]「여긴 조용하고 좋은 것도 많이 떨어져 있거든」",""
"彼女は独りだが、複数人いるかのような喋り方をしていた。","彼女は独りだが、複数人いるかのような喋り方をしていた。","She was alone, but she spoke as if there were multiple people.","她明明只有一个人，说话方式却仿佛有好几个人在场一样。","她明明只有一個人，說話方式卻彷彿有好幾個人在場一樣。","그녀는 혼자였지만, 마치 여러 명이 말하는 것처럼 대화했다.",""
"ギンギツネのフレンズが話しかけてきた。","ギンギツネのフレンズが話しかけてきた。","A Silver Fox Friend spoke to you.","一只银狐Friends向我搭话。","一隻銀狐Friends向我搭話。","은여우 프렌즈가 말을 걸어왔다.",""
"「君、今エレベーターに乗ったと思ったら、[LF]　すぐに出てきたんだけど、なんでそんなに具合悪そうにしてるの？」","「君、今エレベーターに乗ったと思ったら、[LF]　すぐに出てきたんだけど、なんでそんなに具合悪そうにしてるの？」","""I thought you just got into the elevator, [LF]but you came right back out. Why do you look so unwell?""","「你刚才明明才搭上电梯，[LF]　怎么一下子又出来了？而且看起来怎么这么不舒服？」","「你剛才明明才搭上電梯，[LF]　怎麼一下子又出來了？而且看起來怎麼這麼不舒服？」","「너, 방금 엘리베이터 탄 줄 알았는데,[LF]　바로 다시 나오던데… 왜 그렇게 상태가 안 좋아 보여?」",""
"理由を話した。","理由を話した。","You explained the reason.","我说明了理由。","我說明了理由。","이유를 설명했다.",""
"「なるほど、安全なこの階で矢印の実験をしてみたのね。[LF]　その考え方、嫌いじゃないわ」[LF][LF]気に入られたみたいだ。","「なるほど、安全なこの階で矢印の実験をしてみたのね。[LF]　その考え方、嫌いじゃないわ」[LF][LF]気に入られたみたいだ。","""I see. So you tried experimenting with the arrows on this safe floor. [LF]I don't dislike that way of thinking."" [LF][LF]It seems she took a liking to you.","「原来如此，原来你是在这个安全的楼层里测试箭头的呢。[LF]　这种想法，我还挺喜欢的。」[LF][LF]看来自己得到了她的青睐。","「原來如此，原來你是在這個安全的樓層裡測試箭頭的呢。[LF]　這種想法，我還挺喜歡的。」[LF][LF]看來自己得到了她的青睞。","「그렇구나, 안전한 이 층에서 화살표 실험을 해본 거네.[LF]　그런 발상, 나쁘지 않아.」[LF][LF]마음에 든 모양이다.",""
"[color=green]●行動「ギンギツネ」が解禁されました。[/color]","[color=green]●行動「ギンギツネ」が解禁されました。[/color]","[color=green]●Action ""Silver Fox"" has been unlocked.[/color]","[color=green]●行动“银狐”已解锁。[/color]","[color=green]●行動「銀狐」已解鎖。[/color]","[color=green]●행동 「은여우」가 해금되었습니다.[/color]",""
"[color=green]●階探索を完了しました。[/color][LF]{m_screen_msg}","[color=green]●階探索を完了しました。[/color][LF]{m_screen_msg}","[color=green]Completed the exploration of the floor.[/color][LF]{m_screen_msg}","[color=green]●已完成此楼层的探索。[/color][LF]{m_screen_msg}","[color=green]●已完成此樓層的探索。[/color][LF]{m_screen_msg}","[color=green]●층 탐색을 완료했습니다.[/color][LF]{m_screen_msg}",""
"エレベーターは指定した階に着いたが、扉が開く気配がない。[LF]しかたないので、戻ろうと考えていたところ、[LF]突然エレベーターパネルの下の金属板がはずれ、[LF]中の機械がむき出しになった。","エレベーターは指定した階に着いたが、扉が開く気配がない。[LF]しかたないので、戻ろうと考えていたところ、[LF]突然エレベーターパネルの下の金属板がはずれ、[LF]中の機械がむき出しになった。","The elevator arrived at the designated floor, but there is no sign of the doors opening. [LF]Left with no choice, I was thinking about heading back when, [LF]suddenly, the metal plate beneath the elevator panel came off, [LF]exposing the machinery inside.","电梯抵达了指定的楼层，但门却没有要打开的动静。[LF]没办法，正打算返回的时候，[LF]电梯操作面板下方的金属板突然脱落，[LF]露出了里面的机械装置。","電梯抵達了指定的樓層，但門卻沒有要打開的動靜。[LF]沒辦法，正打算返回的時候，[LF]電梯操作面板下方的金屬板突然脫落，[LF]露出了裡面的機械裝置。","엘리베이터는 지정한 층에 도착했지만, 문이 열릴 기미가 없다.[LF]어쩔 수 없이 돌아가려고 생각하던 그때,[LF]갑자기 엘리베이터 패널 아래의 금속판이 떨어져 나가며,[LF]안쪽 기계가 그대로 드러났다.",""
